,name,number,stage_1_start,stage_1_finish,stage_2_start,stage_2_finish,stage_3_start,stage_3_finish,stage_1_time,stage_1_rank,stage_2_time,stage_2_rank,stage_3_time,stage_3_rank,total_time,rank
2,jeremy,666, 00:01:00, 00:08:05, 00:01:00, 00:03:43, 00:01:00, 00:13:10,0 days 00:07:05,1.0,0 days 00:02:43,1.0,0 days 00:12:10,1.0,0 days 00:21:58,1.0
1,davi,420, 00:00:30, 00:08:13, 00:00:30, 00:03:31, 00:00:30, 00:12:59,0 days 00:07:43,2.5,0 days 00:03:01,2.0,0 days 00:12:29,2.0,0 days 00:23:13,2.0
0,ben,314, 00:00:00, 00:07:43, 00:00:00, 00:03:13, 00:00:00, 00:12:32,0 days 00:07:43,2.5,0 days 00:03:13,3.0,0 days 00:12:32,3.0,0 days 00:23:28,3.0
